ID,What is your current academic level?,"How would you rate your prior familiarity with AI tools (ChatGPT, Gemini, Copilot, etc.) before this course?","Before this course, how often did you use AI tools for academic work?","This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),How often did you use the course chatbot (Virtual TA) this semester?,When in the semester did you use it most?,What did you use the Virtual TA for? (Select all that apply.),Typical session length with the Virtual TA (average time per session):,Learning & understanding (select all that apply).,Efficiency and workload (select all that apply),Study Strategies,Perceived learning outcome,Depth vs superficial understanding,"I sometimes encountered responses from the Virtual TA that were unclear, incomplete, or incorrect.",Self-reported adherence.,"How did you use or perceive the FAQ materials provided during the course, which were generated from questions students asked to the VTA? (Select all that apply)",Would you like to have a Virtual TA (or something similar) in other technical courses?,Would you recommend future students in this course make active use of the Virtual TA?,benefit_learning,benefit_efficiency,likert_score,deeper_understanding
90826,Junior,High,A few times per month,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Preparing for midterms/exams;,Never,I only tried it once or twice,Clarifying lecture concepts;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I sometimes accepted the Virtual TA's answers without critically evlaluating them.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.",Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,No,Maybe,No benefit,No efficiency benefit,3,False
27132,Junior,Very HIgh,Never,A few times per semester,Explaining difficult concepts;Generating code or troubleshooting code;Preparing for midterms/exams;I use Ai mainly for non-academic tasks;,A few times per month,Mostly at the beginning of the course,Understanding solutions after homework was graded;Just curious / playing with it.;,5-15 minutes,The Virtual TA helped me make connections across topics;,The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;The FAQ clarified common points of confusion related to the topic.;Most of the FAQ content was too basic because I already understood those concepts.;,Yes,Not sure / It depends on the design,No benefit,Efficiency benefit,4,False
95836,Junior,Very HIgh,Daily or almost daily,Daily or almost daily,Preparing for midterms/exams;Checking my understanding of Class notes;Creating study notes / summaries;Brainstorming ideas;Drafting written assignments;Checking my homework or solutions;,1-2 times total,Mostly in the middle of the course,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;,30-60 minutes,Using the Virtual TA made me more confident in this subject;The Virtual TA helped me make connections across topics;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly before trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Yes,Yes,No benefit,Efficiency benefit,4,False
50688,Junior,High,A few times per week,Never,I use Ai mainly for non-academic tasks;Preparing for midterms/exams;Explaining difficult concepts;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,No,Yes,No benefit,No efficiency benefit,3,False
44109,Sophomore,High,A few times per week,A few times per week,Explaining difficult concepts;Checking my homework or solutions;Generating code or troubleshooting code;Preparing for midterms/exams;,Never,I only tried it once or twice,Just curious / playing with it.;,Less than 5 minutes,The Virtual TA didn't affect my learning;,None of the Above;,I used the Virtual TA mainly after trying problems on my own.,"Without the Virtual TA, I think my final grade would have been lower.",I worry that relying on AI tools might weaken my ability to solve problems independently in the long term.,Agree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,I was not aware of the FAQ or did not use it.;,Not sure / It depends on the design,Not sure / It depends on the design,No benefit,No efficiency benefit,4,False
82860,Junior,Moderate,A few times per month,A few times per semester,Explaining difficult concepts;Checking my homework or solutions;Preparing for midterms/exams;,A few times per month,Mostly near exams / deadlines,Clarifying lecture concepts;Preparing for midterms;Preparing for quizes;Preparing for final exam;,15-30 minutes,The Virtual TA helped me make connections across topics;,The Virtual TA reduced the amount of time I felt stuck on problems.;,Using Virtual TA encouraged me to attempt more challenging problems.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Disagree,I have used AI mainly to check or improve work I already did myself.,The FAQ helped me understand the topic better.;,Maybe,Not sure / It depends on the design,No benefit,Efficiency benefit,2,False
40980,Sophomore,Low,A few times per semester,A few times per semester,Explaining difficult concepts;Brainstorming ideas;Creating study notes / summaries;Preparing for midterms/exams;,A few times per month,Mostly near exams / deadlines,Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;Just curious / playing with it.;,5-15 minutes,The Virtual TA helped me make connections across topics;Using the Virtual TA made me more confident in this subject;,The Virtual TA reduced the amount of time I felt stuck on problems.;,I used the Virtual TA mainly after trying problems on my own.,"Even if my grade did not change, I feel I learned concepts more solidly because of the Virtual TA.","The Virtual TA encouraged me to ask ""why"" and not just ""what is the answer"".",Disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;The FAQ introduced questions or perspectives I had not previously considered.;The FAQ clarified common points of confusion related to the topic.;,Yes,Yes,No benefit,Efficiency benefit,2,False
10602,Junior,Low,Never,A few times per semester,Explaining difficult concepts;,1-2 times total,Mostly at the beginning of the course,Clarifying lecture concepts;,Less than 5 minutes,The Virtual TA helped me understand course concepts more deeply;,The Virtual TA helped me complete my homework or studying more efficiently;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,Sometimes the Virtual TA's help made me feel like I understood more than I actually did.,Neutral,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;,No,No,Reported benefit,Efficiency benefit,3,True
28742,Sophomore,Moderate,A few times per semester,A few times per semester,Brainstorming ideas;Creating study notes / summaries;,1-2 times total,Mostly at the beginning of the course,Just curious / playing with it.;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA didn't affect my learning;,"The Virtual TA helped me complete my homework or studying more efficiently;Because of the Virtual TA, I can spend less time using other resources (office hours, peers, internet, etc);",I used the Virtual TA mainly before trying problems on my own.,The Virtual TA helped me perform better on quizzes and exams.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Disagree,I have used AI to generate solutions that I submitted with minimal modification.,I reviewed the FAQ only briefly and did not use it much.;The FAQ was useful as a quick review or study resource.;,No,No,Reported benefit,Efficiency benefit,2,True
58889,Junior,Moderate,A few times per week,A few times per week,Explaining difficult concepts;Generating code or troubleshooting code;Checking my homework or solutions;,A few times per month,Mostly in the middle of the course,Clarifying lecture concepts;Preparing for quizes;Clarifying Lab instructions or lab analysis;,5-15 minutes,The Virtual TA helped me understand course concepts more deeply;The Virtual TA helped me make connections across topics;Using the Virtual TA made me more confident in this subject;,The Virtual TA helped me complete my homework or studying more efficiently;The Virtual TA reduced the amount of time I felt stuck on problems.;The Virtual TA saved me time overall in this course.;,I used the Virtual TA mainly after trying problems on my own.,The Virtual TA helped me perform better on homework.,"Using the Virtual TA changed how I think about problem solving (eg. more step-by-step reasoning, asking better questions).",Disagree,I always used the Virtual TA in ways that I believe are consistent with the course rules.,The FAQ helped me understand the topic better.;The FAQ introduced questions or perspectives I had not previously considered.;The FAQ was useful as a quick review or study resource.;,Yes,Yes,Reported benefit,Efficiency benefit,2,True
