ID,Level,Level_ord,Familiarity,Familiarity_ord,AI_before,AI_before_ord,VTA_semester_use,VTA_freq/intensity,VTA_session_len,VTA_session_len_ord,VTA_Usage,vta_used_binary,benefit_learning,benefit_efficiency
90826,Junior,2,High,3.0,A few times per month,2,Never,0,Less than 5 minutes,1,Clarifying lecture concepts;,Never / Unaware,No benefit,No efficiency benefit
27132,Junior,2,Very HIgh,4.0,Never,0,A few times per month,2,5-15 minutes,2,Understanding solutions after homework was graded;Just curious / playing with it.;,Used VTA,No benefit,Efficiency benefit
95836,Junior,2,Very HIgh,4.0,Daily or almost daily,4,1-2 times total,1,30-60 minutes,4,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;,Used VTA,No benefit,Efficiency benefit
50688,Junior,2,High,3.0,A few times per week,3,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
44109,Sophomore,1,High,3.0,A few times per week,3,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
82860,Junior,2,Moderate,2.0,A few times per month,2,A few times per month,2,15-30 minutes,3,Clarifying lecture concepts;Preparing for midterms;Preparing for quizes;Preparing for final exam;,Used VTA,No benefit,Efficiency benefit
40980,Sophomore,1,Low,1.0,A few times per semester,1,A few times per month,2,5-15 minutes,2,Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;Just curious / playing with it.;,Used VTA,No benefit,Efficiency benefit
10602,Junior,2,Low,1.0,Never,0,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
28742,Sophomore,1,Moderate,2.0,A few times per semester,1,1-2 times total,1,5-15 minutes,2,Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
58889,Junior,2,Moderate,2.0,A few times per week,3,A few times per month,2,5-15 minutes,2,Clarifying lecture concepts;Preparing for quizes;Clarifying Lab instructions or lab analysis;,Used VTA,Reported benefit,Efficiency benefit
82163,Sophomore,1,Moderate,2.0,A few times per month,2,A few times per month,2,15-30 minutes,3,Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
53030,Junior,2,Moderate,2.0,A few times per month,2,1-2 times per week,3,15-30 minutes,3,Clarifying homework problems before attempting them;Clarifying lecture concepts;Preparing for midterms;Preparing for final exam;Just curious / playing with it.;,Used VTA,No benefit,Efficiency benefit
81315,Senior,3,Moderate,2.0,A few times per semester,1,A few times per month,2,15-30 minutes,3,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;,Used VTA,Reported benefit,No efficiency benefit
78181,Junior,2,High,3.0,A few times per week,3,1-2 times per week,3,5-15 minutes,2,Clarifying lecture concepts;Checking or debugging my homework solutions;Understanding solutions after homework was graded;Preparing for midterms;Preparing for final exam;,Used VTA,No benefit,No efficiency benefit
37372,Junior,2,Moderate,2.0,A few times per month,2,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Understanding solutions after homework was graded;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
95157,Senior,3,Moderate,2.0,A few times per month,2,A few times per month,2,5-15 minutes,2,Clarifying lecture concepts;Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Preparing for midterms;Preparing for final exam;,Used VTA,Reported benefit,Efficiency benefit
38029,Sophomore,1,Moderate,2.0,A few times per week,3,1-2 times total,1,Less than 5 minutes,1,Just curious / playing with it.;,Used VTA,No benefit,No efficiency benefit
73059,Sophomore,1,High,3.0,A few times per week,3,A few times per month,2,5-15 minutes,2,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;,Used VTA,Reported benefit,Efficiency benefit
97439,Junior,2,Moderate,2.0,A few times per semester,1,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;Preparing for quizes;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
61953,Sophomore,1,High,3.0,A few times per week,3,1-2 times per week,3,15-30 minutes,3,Preparing for midterms;Understanding solutions after homework was graded;Clarifying lecture concepts;,Used VTA,No benefit,Efficiency benefit
12740,Senior,3,Moderate,2.0,A few times per semester,1,3+ times per week,4,15-30 minutes,3,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for quizes;Preparing for midterms;,Used VTA,Reported benefit,Efficiency benefit
58977,Junior,2,Moderate,2.0,A few times per month,2,1-2 times total,1,Less than 5 minutes,1,Preparing for midterms;,Used VTA,Reported benefit,Efficiency benefit
15491,Junior,2,Low,1.0,A few times per semester,1,Never,0,Less than 5 minutes,1,Clarifying lecture concepts;Preparing for final exam;Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
29776,Senior,3,Low,1.0,A few times per week,3,1-2 times total,1,Less than 5 minutes,1,Clarifying lecture concepts;Understanding solutions after homework was graded;,Used VTA,Reported benefit,Efficiency benefit
85650,Junior,2,Very HIgh,4.0,Daily or almost daily,4,1-2 times per week,3,15-30 minutes,3,Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,No benefit,Efficiency benefit
26175,Sophomore,1,Moderate,2.0,A few times per month,2,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
48158,Junior,2,Moderate,2.0,A few times per semester,1,A few times per month,2,15-30 minutes,3,Preparing for midterms;Understanding solutions after homework was graded;Preparing for final exam;,Used VTA,Reported benefit,Efficiency benefit
13238,Senior,3,Very HIgh,4.0,A few times per week,3,3+ times per week,4,More than 60 minutes,5,Clarifying lecture concepts;Clarifying homework problems before attempting them;Understanding solutions after homework was graded;Clarifying Lab instructions or lab analysis;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
74980,Senior,3,High,3.0,A few times per week,3,3+ times per week,4,30-60 minutes,4,Clarifying homework problems before attempting them;Checking or debugging my homework solutions;Preparing for quizes;Preparing for midterms;Preparing for final exam;Clarifying Lab instructions or lab analysis;,Used VTA,No benefit,Efficiency benefit
10165,Junior,2,Moderate,2.0,A few times per semester,1,A few times per month,2,Less than 5 minutes,1,Preparing for midterms;Preparing for quizes;,Used VTA,No benefit,No efficiency benefit
74797,Sophomore,1,High,3.0,A few times per week,3,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
91745,Junior,2,Low,1.0,A few times per semester,1,A few times per month,2,5-15 minutes,2,Checking or debugging my homework solutions;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
79139,Junior,2,,,Never,0,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
31286,Junior,2,Moderate,2.0,A few times per week,3,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;Clarifying homework problems before attempting them;Preparing for midterms;Preparing for final exam;Just curious / playing with it.;,Used VTA,Reported benefit,Efficiency benefit
90032,Junior,2,Moderate,2.0,A few times per week,3,1-2 times total,1,Less than 5 minutes,1,Just curious / playing with it.;,Used VTA,No benefit,No efficiency benefit
55076,Senior,3,Moderate,2.0,A few times per week,3,Never,0,Less than 5 minutes,1,Clarifying lecture concepts;,Never / Unaware,No benefit,No efficiency benefit
43320,Junior,2,Low,1.0,A few times per semester,1,1-2 times total,1,5-15 minutes,2,Clarifying Lab instructions or lab analysis;,Used VTA,No benefit,Efficiency benefit
38820,Sophomore,1,Very HIgh,4.0,Daily or almost daily,4,Never,0,Less than 5 minutes,1,Just curious / playing with it.;,Never / Unaware,No benefit,No efficiency benefit
36448,Junior,2,Moderate,2.0,A few times per semester,1,1-2 times total,1,5-15 minutes,2,Clarifying lecture concepts;,Used VTA,Reported benefit,Efficiency benefit
