Question,Question_text,Type,N_respondents,Label_confidence,Category,Count,Percentage
Q1,How would you rate your prior familiarity with AI tools before this course?,single-select,93,unconfirmed,Moderate,52,55.9
Q1,How would you rate your prior familiarity with AI tools before this course?,single-select,93,unconfirmed,High,16,17.2
Q1,How would you rate your prior familiarity with AI tools before this course?,single-select,93,unconfirmed,Low,16,17.2
Q1,How would you rate your prior familiarity with AI tools before this course?,single-select,93,unconfirmed,Very high,8,8.6
Q1,How would you rate your prior familiarity with AI tools before this course?,single-select,93,unconfirmed,None (no prior familiarity),1,1.1
Q2,"Before this course, how often did you use AI tools for academic work?",single-select,93,instrument,A few times per month,31,33.3
Q2,"Before this course, how often did you use AI tools for academic work?",single-select,93,instrument,A few times per week,26,28.0
Q2,"Before this course, how often did you use AI tools for academic work?",single-select,93,instrument,A few times per semester,21,22.6
Q2,"Before this course, how often did you use AI tools for academic work?",single-select,93,instrument,Daily or almost daily,8,8.6
Q2,"Before this course, how often did you use AI tools for academic work?",single-select,93,instrument,Never,7,7.5
Q3,"This semester (overall, in all courses), how often did you use AI tools?",single-select,93,instrument,A few times per month,35,37.6
Q3,"This semester (overall, in all courses), how often did you use AI tools?",single-select,93,instrument,A few times per week,35,37.6
Q3,"This semester (overall, in all courses), how often did you use AI tools?",single-select,93,instrument,A few times per semester,15,16.1
Q3,"This semester (overall, in all courses), how often did you use AI tools?",single-select,93,instrument,Daily or almost daily,5,5.4
Q3,"This semester (overall, in all courses), how often did you use AI tools?",single-select,93,instrument,Never,3,3.2
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Explaining difficult concepts,86,92.5
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Preparing for midterms/exams,59,63.4
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Checking my homework or solutions,53,57.0
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Generating or troubleshooting code,47,50.5
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Creating study notes / summaries,46,49.5
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Checking my understanding of class notes,32,34.4
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Brainstorming ideas,24,25.8
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Mainly for non-academic tasks,8,8.6
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,Drafting written assignments,6,6.5
Q4,For what learning or coursework-related purposes do you typically use AI tools?,multi-select,93,instrument,I generally do not use AI tools,1,1.1
Q5,How often did you use the course chatbot (Virtual TA) this semester?,single-select,93,instrument,A few times per month,41,44.1
Q5,How often did you use the course chatbot (Virtual TA) this semester?,single-select,93,instrument,1-2 times total,18,19.4
Q5,How often did you use the course chatbot (Virtual TA) this semester?,single-select,93,instrument,1-2 times per week,15,16.1
Q5,How often did you use the course chatbot (Virtual TA) this semester?,single-select,93,instrument,Never,14,15.1
Q5,How often did you use the course chatbot (Virtual TA) this semester?,single-select,93,instrument,3+ times per week,5,5.4
Q6,When in the semester did you use it most?,single-select,92,instrument,Mostly near exams / deadlines,29,31.5
Q6,When in the semester did you use it most?,single-select,92,instrument,Mostly in the middle of the course,21,22.8
Q6,When in the semester did you use it most?,single-select,92,instrument,Consistently throughout the semester,16,17.4
